scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Larus argentatus,Herring Gull,marine/freshwater,Larus,Laridae,Charadriiformes,"130,000-","740,000 (710,000–780,000)+"
Larus marinus,Great Black-backed Gull,marine/freshwater,Larus,Laridae,Charadriiformes,"15,000 (7,200–19,000)-","77,000 (72,000–82,000)+"
Larus canus,Common Gull,marine/freshwater,Larus,Laridae,Charadriiformes,48500,"710,000 (680,000–730,000)+"
Larus delawarensis,Ring-billed Gull,marine,Larus,Laridae,Charadriiformes,,21
Larus glaucescens,Glaucous-winged Gull,,Larus,Laridae,Charadriiformes,,
Larus smithsonianus,American Herring Gull,,Larus,Laridae,Charadriiformes,,
Larus schistisagus,Slaty-backed Gull,marine/terrestrial/freshwater,Larus,Laridae,Charadriiformes,,
Larus glaucoides,Iceland Gull,marine/freshwater,Larus,Laridae,Charadriiformes,,355+
Ichthyaetus melanocephalus,Mediterranean Gull,marine/terrestrial/freshwater,Ichthyaetus,Laridae,Charadriiformes,"1,200+",4000
Ichthyaetus audouinii,Audouin's Gull,marine/terrestrial/freshwater,Ichthyaetus,Laridae,Charadriiformes,,
Ichthyaetus ichthyaetus,Great Black-headed Gull,marine/terrestrial/freshwater,Ichthyaetus,Laridae,Charadriiformes,,
Thalasseus sandvicensis,Sandwich Tern,marine,Thalasseus,Laridae,Charadriiformes,"14,000 (13,000–15,000)",65
Thalasseus elegans,Elegant Tern,marine,Thalasseus,Laridae,Charadriiformes,,
Thalasseus acuflavidus,Cabot's Tern,marine,Thalasseus,Laridae,Charadriiformes,,
Thalasseus maximus,Royal Tern,marine,Thalasseus,Laridae,Charadriiformes,,
Thalasseus bengalensis,Lesser Crested Tern,marine,Thalasseus,Laridae,Charadriiformes,,
Pagophila eburnea,Ivory Gull,marine,Pagophila,Laridae,Charadriiformes,,
Chlidonias niger,Black Tern,marine/terrestrial,Chlidonias,Laridae,Charadriiformes,,
Chlidonias leucopterus,White-winged Black Tern,marine,Chlidonias,Laridae,Charadriiformes,,
Sternula albifrons,Little Tern,marine/freshwater,Sternula,Laridae,Charadriiformes,"14,50",
Sternula antillarum,Least Tern,marine,Sternula,Laridae,Charadriiformes,,
Sterna paradisaea,Arctic Tern,marine/freshwater,Sterna,Laridae,Charadriiformes,53500,
Sterna forsteri,Forster's Tern,marine,Sterna,Laridae,Charadriiformes,,
Sterna dougallii,Roseate Tern,marine/freshwater,Sterna,Laridae,Charadriiformes,100,
Sterna hirundo,Common Tern,marine/freshwater,Sterna,Laridae,Charadriiformes,"11,000 (8,900–13,500)",
Numenius minutus,Little Whimbrel,marine,Numenius,Scolopacidae,Charadriiformes,,
Numenius borealis,Eskimo Curlew,marine,Numenius,Scolopacidae,Charadriiformes,,
Circus hudsonius,Northern Harrier,terrestrial,Circus,Accipitridae,Falconiformes,,
Megaceryle alcyon,Belted Kingfisher,,Megaceryle,Alcedinidae,Coraciiformes,,
Merops persicus,Blue-cheeked Bee-eater,,Merops,Meropidae,Coraciiformes,,
Merops superciliosus,Olive Bee-eater,,Merops,Meropidae,Coraciiformes,,
Tachymarptis melba,Alpine Swift,terrestrial,Tachymarptis,Apodidae,Apodiformes,,
Liocichla phoenicea,Red-faced Liocichla,,Liocichla,Leiothrichidae,Passeriformes,,
Ixoreus naevius,Varied Thrush,,Ixoreus,Turdidae,Passeriformes,,
Zoothera aurea,White's Thrush,terrestrial,Zoothera,Turdidae,Passeriformes,,
Turdus atrogularis,Black-throated Thrush,,Turdus,Turdidae,Passeriformes,,
Turdus eunomus,Dusky Thrush,,Turdus,Turdidae,Passeriformes,,
Motacilla tschutschensis,Eastern Yellow Wagtail,terrestrial,Motacilla,Motacillidae,Passeriformes,,
Anthus rufulus,Paddyfield Pipit,terrestrial,Anthus,Motacillidae,Passeriformes,,
Tyrannus tyrannus,Eastern Kingbird,terrestrial,Tyrannus,Tyrannidae,Passeriformes,,
Empidonax virescens,Acadian Flycatcher,,Empidonax,Tyrannidae,Passeriformes,,
Empidonax flaviventris,Yellow-bellied Flycatcher,terrestrial,Empidonax,Tyrannidae,Passeriformes,,
Empidonax alnorum,Alder Flycatcher,terrestrial,Empidonax,Tyrannidae,Passeriformes,,
Coloeus monedula,Jackdaw,,Coloeus,Corvidae,Passeriformes,"1,550,000 (1,350,000–1,750,000)",
Corvus cornix,Hooded Crow,,Corvus,Corvidae,Passeriformes,285000,
Sitta neumayer,Western Rock Nuthatch,,Sitta,Sittidae,Passeriformes,,
Emberiza fucata,Chestnut-eared Bunting,,Emberiza,Emberizidae,Passeriformes,,
Alauda leucoptera,White-winged Lark,terrestrial,Alauda,Alaudidae,Passeriformes,,
Poecile palustris,Marsh Tit,,Poecile,Paridae,Passeriformes,28500,
Poecile atricapillus,Black-capped Chickadee,,Poecile,Paridae,Passeriformes,,
Poecile lugubris,Sombre Tit,,Poecile,Paridae,Passeriformes,,
